name,upc1,upc2
JAZZ XXL 2000 BANANA ICE 10CT,9533830331990,0953383033199
JAZZ XXL 2000 APPLE ICE 10CT,9633830331980,0963383033198
IRISH PEACH TOB 250G,8472440051380,0847244005138
IRISH PEACH ELC/CIG 1 CT,7137579331000,0713757933100
HOMBRE CIGAR RED,951819003480,0095181900348
HOMBRE CIGAR MENTHOL,951819003860,0095181900386
HOMBRE CIGAR LIGHT,951819003620,0095181900362
HAV-A-TAMPA JEWELS REG PK,0764523045150,0076452304515
GT 4/99 4KINGS PINA COLDA 15CT                    GT 4/99 4KINGS PINA COLDA 15CT,8188920139810,0818892013981
GT 4/99 4KINGS CAPPUCINO 15CT                     GT 4/99 4KINGS CAPPUCINO 15CT,8188920163710,0818892016371
GT 4/99 4KINGS BANANA SPLIT 15                    GT 4/99 4KINGS BANANA SPLIT 15,8188920163020,0818892016302
GT 4/99 4KING PUMPKIN 15 CT                       GT 4/99 4KING PUMPKIN 15 CT,8188920143770,0818892014377
GT 3/99 SWEET DISPLAY $1.50 OF                    GT 3/99 SWEET DISPLAY $1.50 OF,8188920145440,0818892014544
GT 3/99 SWEET BONUS HD 15/3CT                     GT 3/99 SWEET BONUS HD 15/3CT,8424261428090,0842426142809
GT 3/99 HD RUSSIAN CREAM 15CT                     GT 3/99 HD RUSSIAN CREAM 15CT,RC0,00000000000RC
GT 3/99 HD KASH 15CT                              GT 3/99 HD KASH 15CT,8424261476750,0842426147675
GRABBA LEAF HMP PAPR K/S 50CT,949220569860,0094922056986
GOLD RUSH CIGAR RED BX,7895025320580,0789502532058
GOLD RUSH CIGAR GREEN BX,7895025320720,0789502532072
GOLD RUSH CIGAR  BLUE BX,7895025320650,0789502532065
GOLD CREST YELLOW 100S,7673214231600,0767321423160
GOLD CREST RED K/S BX,7673214141750,0767321414175
GOLD CREST RED 100S BX,7673214131610,0767321413161
"GOLD CREST MENTHOL 100,S",7673214431680,0767321443168
GOLD CREST MENTHOL,7673214421540,0767321442154
GM SILVER 0.79 CENTS 25CT                         GM SILVER 0.79 CENTS 25CT,0317000095670,0031700009567
GM G/VEGA  GREEN 79C 25CT                         GM G/VEGA  GREEN 79C 25CT,317000095050,0031700009505
GLACE STICKS 1500 PUFFS DISP,GLACE0,00000000GLACE
GAME 2/1.49 W/GRAPE 30CT,0317002333680,0031700233368
GAME 2/1.49 SWEET 30CT,0317002333440,0031700233344
GAME 2/1.49 SILVER 30CT,0317002333820,0031700233382
GAME 2/1.49 GRAPE 30CT,0317002333750,0031700233375
GAME 2/1.49 GOLD 30CT,0317002334360,0031700233436
GAME 2/1.49 BLUE 30CT,0317002333990,0031700233399
GAME 2/1.49 BLACK 30CT,0317002334290,0031700233429
GAMBLER CIG PAPER .49 JAR,0771702602370,0077170260237
FUZZY NOVAL TOB 250G,8472440018190,0847244001819
FUZZY NAVAL TOB 100G,8472440018020,0847244001802
FUTUROLA TYSON BLUNT WRAPS 25C,8195000248672,0819500024867
FUTUROLA TYSON BLUNT CONES 12C,8195000248502,0819500024850
FUTUROLA SNOOP BLUNT WRAPS 25C,8195000262122,0819500026212
FUTUROLA SNOOP BLUNT CONES 12C,8195000262052,0819500026205
FUMA SWEET LYCHEE POD 1CT,786458820,0000078645882
FUMA SMOOTH STRWBRY POD 1CT,786457140,0000078645714
FUMA PURE PINEAPPLPOD 1CT,786457760,0000078645776
FUMA PURE MANGO POD 1CT,786457210,0000078645721
FUMA MUTI PODS 1CT,786458990,0000078645899
FUMA LUSH ICE POD 1CT,786188310,0000078618831
FUMA JUICY GRAPE POD 1CT,786457380,0000078645738
FUMA COOL MELON POD 1CT,786458060,0000078645806
FRONTO SWEET 20POUCHES,FSWT0,000000000FSWT
FRONTO RUSSIAN CREAM 20POUCHES,FR0,00000000000FR
FRONTO NATURAL 20POUCHES,FN0,00000000000FN
FRONTO KING/TRU LEAF 1CT,8606680000080,0860668000008
FRONTO KING WIZZLA 1CT,7618475491130,0761847549113
FRONTO KING DRK CRUSH 12GM BTL,7501227866710,0750122786671
FORTUNA MTHL GRN BX  SOFT,906000014600,0090600001460
FIESTA TOWEL 1 ROLL,771701089110,0077170108911
FIESTA TOWEL 1 ROLL,7719131523070,0771913152307
FANTASIA HOOKAH TOB  ADIOS,8124740105730,0812474010573
FANTASIA E-HKH PUROLE HAZE 1CT,8495230036990,0849523003699
FANTASIA E-HKH JOKER 1CT,8495230048630,0849523004863
FANTASIA E-HKH ICE MINT 1CT,8495230048490,0849523004849
FANTASIA E-HKH DIRTY BLONDE 1C,8495230048560,0849523004856
FANTASIA E-HKH  ADIOS 1 CT,8495230036440,0849523003644
FANTASIA CUPIDS ARROW 50GM,8124740101460,0812474010146
EZWIDER MIX JAR 96CT,0744601513971,0074460151397
EZWIDER JOKER MIX JAR 96CT,0744601513671,0074460151367
EZWIDER JAR 1.5 72CT,0744601514071,0074460151407
EZWIDER JAR 1.25 96CT,0744601513871,0074460151387
EZ SPLITZ CIGAR CUTTER 60CT                       EZ SPLITZ CIGAR CUTTER 60CT,8748630049140,0874863004914
EZ ROLL WHITE GRAPE,6196820016270,0619682001627
EZ ROLL w/ROYALBLUNT DOUBLE UP,6196820055710,0619682005571
EZ ROLL w/BLUEBERRY DOUBLE UP,6196820053350,0619682005335
EZ ROLL STBERRY BANANA,6196826212830,0619682621283
EZ ROLL S/APPLE DOUBLE UP 25CT                    EZ ROLL S/APPLE DOUBLE UP 25CT,6196820208020,0619682020802
EZ ROLL PASSION FRUIT,6196826214290,0619682621429
EZ ROLL MANGO DOUBLE UP 25CT,6196820206040,0619682020604
EZ ROLL G/PEACH DOUBLE UP 25CT,6196820209870,0619682020987
EZ ROLL CLOVES,6196820700500,0619682070050
EZ ROLL CHRONIC WRAP 25CT,6196820701730,0619682070173
EZ ROLL CHERRY VANILLA,6196826212070,0619682621207
EZ ROLL B/BERRY D/UP 25CT,6196820207410,0619682020741
EXTENDOS SILVER LOUD 2/99 15CT,8165180139950,0816518013995
EXTENDOS PURPLE K  2/99 15CT                      EXTENDOS PURPLE K  2/99 15CT,8165180173060,0816518017306
EXOTIC U.F.O. TOB 250G,8472440008430,0847244000843
EXOTIC U F O TOB 100G,8472440008360,0847244000836
